no,season,daytime,night,price_sum,year_price_sum,hosin,general,anjin,dongyang,tongun,tayoung,carwash_sum,year_carwash_sum
86 ,2022-03-27,"9,498,961 ","6,837,424 ","16,336,385 ",,,,,,,,163 ,
87 ,2022-03-28,"12,275,999 ","8,278,640 ","20,554,639 ",,,,,,,,198 ,
88 ,2022-03-29,"12,252,426 ","9,932,457 ","22,184,883 ",,,,,,,,150 ,
89 ,2022-03-30,"11,323,467 ","8,545,755 ","19,869,222 ",,,,,,,,90 ,
90 ,2022-03-31,"13,016,833 ","948,634 ","13,965,467 ",,,,,,,,267 ,
91 ,2022-04-01,"7,296,984 ","25,239,926 ","32,536,910 ",,,,,,,,225 ,
92 ,2022-04-02,"13,613,279 ","8,883,523 ","22,496,802 ",,,,,,,,185 ,
93 ,2022-04-03,"9,621,367 ","6,894,030 ","16,515,397 ",,,,,,,,124 ,
94 ,2022-04-04,"15,020,510 ","9,787,410 ","24,807,920 ",,,,,,,,148 ,
95 ,2022-04-05,"15,308,465 ","9,529,826 ","24,838,291 ",,,,,,,,200 ,
96 ,2022-04-06,"13,827,683 ","9,714,527 ","23,542,210 ",,,,,,,,158 ,
97 ,2022-04-07,"15,086,795 ","11,057,671 ","26,144,466 ",,,,,,,,184 ,
98 ,2022-04-08,"15,002,316 ","11,054,450 ","26,056,766 ",,,,,,,,187 ,
99 ,2022-04-09,"12,832,315 ","8,741,071 ","21,573,386 ",,,,,,,,309 ,
100 ,2022-04-10,0 ,"6,836,772 ","6,836,772 ",,,,,,,,200 ,
101 ,2022-04-11,"15,323,063 ","9,267,192 ","24,590,255 ",,,,,,,,199 ,
102 ,2022-04-12,"12,809,869 ","9,033,571 ","21,843,440 ",,,,,,,,123 ,
103 ,2022-04-13,"13,598,329 ","9,982,300 ","23,580,629 ",,,,,,,,200 ,
104 ,2022-04-14,"14,611,883 ","10,738,316 ","25,350,199 ",,,,,,,,213 ,
105 ,2022-04-15,"15,551,546 ","10,270,885 ","25,822,431 ",,,,,,,,139 ,
106 ,2022-04-16,"14,530,295 ","8,863,054 ","23,393,349 ",,,,,,,,212 ,
107 ,2022-04-17,"10,414,346 ","6,302,797 ","16,717,143 ",,,,,,,,177 ,
108 ,2022-04-18,"14,907,710 ","9,115,575 ","24,023,285 ",,,,,,,,170 ,
109 ,2022-04-19,"15,385,160 ","9,752,664 ","25,137,824 ",,,,,,,,230 ,
110 ,2022-04-20,"13,919,231 ","10,360,303 ","24,279,534 ",,,,,,,,195 ,
111 ,2022-04-21,"14,575,660 ","10,739,716 ","25,315,376 ",,,,,,,,185 ,
112 ,2022-04-22,"15,182,159 ","11,592,139 ","26,774,298 ",,,,,,,,148 ,
113 ,2022-04-23,"12,774,576 ","9,519,255 ","22,293,831 ",,,,,,,,204 ,
114 ,2022-04-24,"10,514,722 ","7,181,966 ","17,696,688 ",,,,,,,,164 ,
115 ,2022-04-25,"14,508,757 ","9,547,774 ","24,056,531 ",,,,,,,,204 ,
116 ,2022-04-26,"15,358,197 ","9,944,862 ","25,303,059 ",,,,,,,,307 ,
117 ,2022-04-27,"15,879,290 ","9,866,827 ","25,746,117 ",,,,,,,,235 ,
118 ,2022-04-28,"15,340,542 ","10,164,467 ","25,505,009 ",,,,,,,,191 ,
119 ,2022-04-29,"13,920,965 ","10,817,854 ","24,738,819 ",,,,,,,,244 ,
120 ,2022-04-30,"12,581,244 ","1,217,149 ","13,798,393 ",,,,,,,,187 ,
121 ,2022-05-01,"7,428,532 ","16,578,696 ","24,007,228 ",,,,,,,,171 ,
122 ,2022-05-02,"14,992,841 ","9,119,799 ","24,112,640 ",,,,,,,,270 ,
123 ,2022-05-03,"14,761,662 ","9,488,815 ","24,250,477 ",,,,,,,,213 ,
124 ,2022-05-04,"14,470,264 ","11,218,114 ","25,688,378 ",,,,,,,,197 ,
125 ,2022-05-05,"10,776,668 ","7,226,846 ","18,003,514 ",,,,,,,,172 ,
126 ,2022-05-06,"13,114,704 ","9,878,936 ","22,993,640 ",,,,,,,,172 ,
127 ,2022-05-07,"13,774,005 ","9,214,399 ","22,988,404 ",,,,,,,,217 ,
128 ,2022-05-08,"10,084,139 ","6,749,217 ","16,833,356 ",,,,,,,,135 ,
129 ,2022-05-09,"14,092,437 ","9,736,228 ","23,828,665 ",,,,,,,,302 ,
130 ,2022-05-10,"14,732,137 ","9,411,231 ","24,143,368 ",,,,,,,,184 ,
131 ,2022-05-11,"14,807,440 ","10,103,314 ","24,910,754 ",,,,,,,,238 ,
132 ,2022-05-12,"15,354,677 ","9,619,145 ","24,973,822 ",,,,,,,,222 ,
133 ,2022-05-13,"14,479,641 ","11,913,808 ","26,393,449 ",,,,,,,,193 ,
134 ,2022-05-14,"13,245,386 ","9,407,018 ","22,652,404 ",,,,,,,,216 ,
135 ,2022-05-15,"10,081,025 ","5,569,788 ","15,650,813 ",,,,,,,,187 ,
136 ,2022-05-16,"14,674,242 ","9,882,754 ","24,556,996 ",,,,,,,,237 ,
137 ,2022-05-17,"13,792,228 ","9,588,573 ","23,380,801 ",,,,,,,,119 ,
138 ,2022-05-18,"14,300,702 ","10,324,891 ","24,625,593 ",,,,,,,,315 ,
139 ,2022-05-19,"14,647,119 ","11,222,541 ","25,869,660 ",,,,,,,,98 ,
140 ,2022-05-20,"14,885,357 ","10,377,428 ","25,262,785 ",,,,,,,,164 ,
141 ,2022-05-21,"12,283,654 ","8,872,906 ","21,156,560 ",,,,,,,,232 ,
142 ,2022-05-22,"9,884,591 ","6,605,255 ","16,489,846 ",,,,,,,,158 ,
143 ,2022-05-23,"15,138,085 ","9,510,340 ","24,648,425 ",,,,,,,,251 ,
144 ,2022-05-24,"14,861,330 ","10,174,239 ","25,035,569 ",,,,,,,,188 ,
145 ,2022-05-25,"13,938,093 ","10,063,456 ","24,001,549 ",,,,,,,,139 ,
146 ,2022-05-26,"16,490,773 ","10,654,956 ","27,145,729 ",,,,,,,,297 ,
147 ,2022-05-27,"15,309,607 ","11,208,892 ","26,518,499 ",,,,,,,,232 ,
148 ,2022-05-28,"13,044,139 ","9,007,802 ","22,051,941 ",,,,,,,,194 ,
149 ,2022-05-29,"9,518,734 ","6,931,621 ","16,450,355 ",,,,,,,,0 ,
150 ,2022-05-30,"14,802,347 ","8,920,752 ","23,723,099 ",,,,,,,,120 ,
151 ,2022-05-31,"14,540,795 ","1,108,055 ","15,648,850 ",,,,,,,,223 ,
152 ,2022-06-01,"8,602,451 ","17,984,602 ","26,587,053 ",,,,,,,,175 ,
153 ,2022-06-02,"13,548,953 ","9,996,142 ","23,545,095 ",,,,,,,,198 ,
154 ,2022-06-03,"15,015,506 ","10,972,034 ","25,987,540 ",,,,,,,,196 ,
155 ,2022-06-04,"13,149,876 ","9,654,602 ","22,804,478 ",,,,,,,,203 ,
156 ,2022-06-05,"7,977,945 ","6,486,970 ","14,464,915 ",,,,,,,,104 ,
157 ,2022-06-06,"10,660,161 ","5,555,106 ","16,215,267 ",,,,,,,,165 ,
158 ,2022-06-07,"15,857,862 ","10,335,408 ","26,193,270 ",,,,,,,,229 ,
159 ,2022-06-08,"14,915,653 ","10,156,095 ","25,071,748 ",,,,,,,,170 ,
160 ,2022-06-09,"16,282,380 ","10,392,962 ","26,675,342 ",,,,,,,,239 ,
161 ,2022-06-10,"14,640,003 ","10,444,182 ","25,084,185 ",,,,,,,,175 ,
162 ,2022-06-11,"14,423,523 ","9,394,314 ","23,817,837 ",,,,,,,,309 ,
163 ,2022-06-12,"9,327,111 ","6,665,928 ","15,993,039 ",,,,,,,,176 ,
164 ,2022-06-13,"14,940,824 ","9,706,361 ","24,647,185 ",,,,,,,,217 ,
165 ,2022-06-14,"14,322,678 ","10,603,696 ","24,926,374 ",,,,,,,,168 ,
166 ,2022-06-15,"13,776,290 ","10,693,132 ","24,469,422 ",,,,,,,,14 ,
167 ,2022-06-16,"15,702,841 ","10,660,514 ","26,363,355 ",,,,,,,,235 ,
168 ,2022-06-17,"15,068,023 ","10,980,766 ","26,048,789 ",,,,,,,,174 ,
169 ,2022-06-18,"12,883,639 ","9,812,075 ","22,695,714 ",,,,,,,,148 ,
170 ,2022-06-19,"9,664,994 ","6,813,378 ","16,478,372 ",,,,,,,,141 ,
171 ,2022-06-20,"13,991,040 ","10,669,412 ","24,660,452 ",,,,,,,,205 ,
172 ,2022-06-21,"15,901,771 ","9,830,240 ","25,732,011 ",,,,,,,,201 ,
173 ,2022-06-22,"15,220,102 ","10,367,338 ","25,587,440 ",,,,,,,,142 ,
174 ,2022-06-23,"14,479,131 ","8,993,260 ","23,472,391 ",,,,,,,,24 ,
175 ,2022-06-24,"15,876,427 ","10,502,238 ","26,378,665 ",,,,,,,,161 ,
176 ,2022-06-25,"13,085,349 ","9,440,414 ","22,525,763 ",,,,,,,,157 ,
177 ,2022-06-26,"10,633,181 ","7,710,103 ","18,343,284 ",,,,,,,,91 ,
178 ,2022-06-27,"14,515,161 ","9,838,681 ","24,353,842 ",,,,,,,,15 ,
179 ,2022-06-28,"14,626,707 ","8,683,898 ","23,310,605 ",,,,,,,,45 ,
180 ,2022-06-29,"14,195,681 ","7,877,569 ","22,073,250 ",,,,,,,,6 ,
181 ,2022-06-30,"15,370,334 ","1,639,178 ","17,009,512 ",,,,,,,,0 ,
182 ,2022-07-01,"7,720,486 ","25,819,570 ","33,540,056 ",,,,,,,,135 ,
183 ,2022-07-02,"12,597,571 ","9,418,114 ","22,015,685 ",,,,,,,,140 ,
184 ,2022-07-03,"9,672,248 ","6,963,102 ","16,635,350 ",,,,,,,,152 ,
185 ,2022-07-04,"14,429,692 ","9,504,113 ","23,933,805 ",,,,,,,,159 ,
186 ,2022-07-05,"14,053,533 ","9,717,560 ","23,771,093 ",,,,,,,,145 ,
187 ,2022-07-06,"14,630,262 ","10,002,555 ","24,632,817 ",,,,,,,,152 ,
188 ,2022-07-07,"14,685,424 ","9,056,711 ","23,742,135 ",,,,,,,,65 ,
189 ,2022-07-08,"15,303,947 ","9,768,610 ","25,072,557 ",,,,,,,,165 ,
190 ,2022-07-09,"12,161,014 ","9,107,596 ","21,268,610 ",,,,,,,,151 ,
191 ,2022-07-10,"9,742,269 ","6,627,019 ","16,369,288 ",,,,,,,,138 ,
192 ,2022-07-11,"14,881,974 ","8,739,594 ","23,621,568 ",,,,,,,,170 ,
193 ,2022-07-12,"14,179,580 ","9,951,468 ","24,131,048 ",,,,,,,,155 ,
194 ,2022-07-13,"12,641,031 ","7,987,260 ","20,628,291 ",,,,,,,,0 ,
195 ,2022-07-14,"15,493,747 ","10,121,157 ","25,614,904 ",,,,,,,,186 ,
196 ,2022-07-15,"15,391,569 ","10,485,520 ","25,877,089 ",,,,,,,,137 ,
197 ,2022-07-16,"12,542,668 ","8,795,271 ","21,337,939 ",,,,,,,,156 ,
198 ,2022-07-17,"9,057,848 ","7,489,524 ","16,547,372 ",,,,,,,,125 ,
199 ,2022-07-18,"14,617,672 ","8,867,925 ","23,485,597 ",,,,,,,,180 ,
200 ,2022-07-19,"14,479,433 ","9,308,576 ","23,788,009 ",,,,,,,,164 ,
201 ,2022-07-20,"12,551,497 ","9,361,449 ","21,912,946 ",,,,,,,,113 ,
202 ,2022-07-21,"14,042,205 ","10,566,112 ","24,608,317 ",,,,,,,,87 ,
203 ,2022-07-22,"15,289,677 ","9,927,400 ","25,217,077 ",,,,,,,,139 ,
204 ,2022-07-23,"12,368,653 ","7,225,262 ","19,593,915 ",,,,,,,,87 ,
205 ,2022-07-24,"10,208,534 ","7,027,552 ","17,236,086 ",,,,,,,,103 ,
206 ,2022-07-25,"15,064,639 ","9,133,831 ","24,198,470 ",,,,,,,,196 ,
207 ,2022-07-26,"14,475,967 ","9,386,791 ","23,862,758 ",,,,,,,,120 ,
208 ,2022-07-27,"13,506,441 ","10,524,246 ","24,030,687 ",,,,,,,,138 ,
209 ,2022-07-28,"14,937,279 ","10,507,734 ","25,445,013 ",,,,,,,,157 ,
210 ,2022-07-29,"14,756,497 ","10,817,533 ","25,574,030 ",,,,,,,,151 ,
211 ,2022-07-30,"12,631,396 ","9,203,828 ","21,835,224 ",,,,,,,,144 ,
212 ,2022-07-31,"8,230,339 ","735,119 ","8,965,458 ",,,,,,,,20 ,
213 ,2022-08-01,"3,928,978 ","18,359,786 ","22,288,764 ",,,,,,,,94 ,
214 ,2022-08-02,"11,686,837 ","6,318,757 ","18,005,594 ",,,,,,,,1 ,
215 ,2022-08-03,"10,993,906 ","7,780,853 ","18,774,759 ",,,,,,,,64 ,
216 ,2022-08-04,"12,188,682 ","7,125,915 ","19,314,597 ",,,,,,,,0 ,
217 ,2022-08-05,"13,515,764 ","7,715,150 ","21,230,914 ",,,,,,,,108 ,
218 ,2022-08-06,"10,398,675 ","6,215,615 ","16,614,290 ",,,,,,,,119 ,
219 ,2022-08-07,"8,504,805 ","4,405,113 ","12,909,918 ",,,,,,,,96 ,
220 ,2022-08-08,"12,349,053 ","5,982,318 ","18,331,371 ",,,,,,,,0 ,
221 ,2022-08-09,"11,175,083 ","5,003,570 ","16,178,653 ",,,,,,,,0 ,
222 ,2022-08-10,"11,343,727 ","6,883,411 ","18,227,138 ",,,,,,,,91 ,
223 ,2022-08-11,"12,133,351 ","7,451,939 ","19,585,290 ",,,,,,,,67 ,
224 ,2022-08-12,"13,463,303 ","7,802,605 ","21,265,908 ",,,,,,,,188 ,
225 ,2022-08-13,"8,178,191 ","5,967,671 ","14,145,862 ",,,,,,,,27 ,
226 ,2022-08-14,"7,211,275 ","4,762,804 ","11,974,079 ",,,,,,,,63 ,
227 ,2022-08-15,"7,195,858 ","4,474,213 ","11,670,071 ",,,,,,,,51 ,
228 ,2022-08-16,"13,074,187 ","6,220,486 ","19,294,673 ",,,,,,,,205 ,
229 ,2022-08-17,"13,216,603 ","6,970,407 ","20,187,010 ",,,,,,,,151 ,
230 ,2022-08-18,"13,251,166 ","7,443,904 ","20,695,070 ",,,,,,,,123 ,
231 ,2022-08-19,"11,549,506 ","6,369,363 ","17,918,869 ",,,,,,,,54 ,
232 ,2022-08-20,"11,094,050 ","6,808,437 ","17,902,487 ",,,,,,,,177 ,
233 ,2022-08-21,"8,112,554 ","5,240,523 ","13,353,077 ",,,,,,,,0 ,
234 ,2022-08-22,"12,216,759 ","6,687,308 ","18,904,067 ",,,,,,,,89 ,
235 ,2022-08-23,"13,232,440 ","7,632,824 ","20,865,264 ",,,,,,,,154 ,
236 ,2022-08-24,"11,862,970 ","7,135,924 ","18,998,894 ",,,,,,,,139 ,
237 ,2022-08-25,"11,666,669 ","6,647,522 ","18,314,191 ",,,,,,,,55 ,
238 ,2022-08-26,"13,749,471 ","7,537,426 ","21,286,897 ",,,,,,,,202 ,
239 ,2022-08-27,"10,513,091 ","6,135,304 ","16,648,395 ",,,,,,,,156 ,
240 ,2022-08-28,"9,033,519 ","4,896,624 ","13,930,143 ",,,,,,,,140 ,
241 ,2022-08-29,"11,272,176 ","6,783,904 ","18,056,080 ",,,,,,,,52 ,
242 ,2022-08-30,"11,021,611 ","7,029,823 ","18,051,434 ",,,,,,,,0 ,
243 ,2022-08-31,"12,105,843 ","1,084,684 ","13,190,527 ",,,,,,,,129 ,
244 ,2022-09-01,"5,853,633 ","17,796,467 ","23,650,100 ",,,,,,,,146 ,
245 ,2022-09-02,"11,453,723 ","6,961,366 ","18,415,089 ",,,,,,,,149 ,
246 ,2022-09-03,"10,400,088 ","6,335,130 ","16,735,218 ",,,,,,,,95 ,
247 ,2022-09-04,"6,129,126 ","4,105,753 ","10,234,879 ",,,,,,,,2 ,
248 ,2022-09-05,"11,817,554 ","5,210,966 ","17,028,520 ",,,,,,,,0 ,
249 ,2022-09-06,"4,548,970 ","6,865,344 ","11,414,314 ",,,,,,,,128 ,
250 ,2022-09-07,"12,956,106 ","7,961,844 ","20,917,950 ",,,,,,,,167 ,
251 ,2022-09-08,"13,053,840 ","6,927,665 ","19,981,505 ",,,,,,,,174 ,
252 ,2022-09-09,"8,680,437 ","2,944,343 ","11,624,780 ",,,,,,,,119 ,
253 ,2022-09-10,"6,624,943 ","3,130,541 ","9,755,484 ",,,,,,,,65 ,
254 ,2022-09-11,"5,622,007 ","3,271,468 ","8,893,475 ",,,,,,,,64 ,
255 ,2022-09-12,"6,050,512 ","4,001,687 ","10,052,199 ",,,,,,,,100 ,
256 ,2022-09-13,"11,410,929 ","7,138,956 ","18,549,885 ",,,,,,,,114 ,
257 ,2022-09-14,"10,619,896 ","6,069,029 ","16,688,925 ",,,,,,,,112 ,
258 ,2022-09-15,"11,369,641 ","6,215,446 ","17,585,087 ",,,,,,,,107 ,
259 ,2022-09-16,"10,492,754 ","6,686,607 ","17,179,361 ",,,,,,,,96 ,
260 ,2022-09-17,"9,957,771 ","5,577,729 ","15,535,500 ",,,,,,,,142 ,
261 ,2022-09-18,"6,339,776 ","4,346,032 ","10,685,808 ",,,,,,,,0 ,
262 ,2022-09-19,"12,049,238 ","6,967,248 ","19,016,486 ",,,,,,,,124 ,
263 ,2022-09-20,"10,830,246 ","6,155,460 ","16,985,706 ",,,,,,,,136 ,
264 ,2022-09-21,"10,861,847 ","6,397,471 ","17,259,318 ",,,,,,,,143 ,
265 ,2022-09-22,"11,809,397 ","6,423,894 ","18,233,291 ",,,,,,,,129 ,
266 ,2022-09-23,"11,584,324 ","6,668,466 ","18,252,790 ",,,,,,,,154 ,
267 ,2022-09-24,"9,518,116 ","5,347,723 ","14,865,839 ",,,,,,,,150 ,
268 ,2022-09-25,"8,331,993 ","4,161,126 ","12,493,119 ",,,,,,,,123 ,
269 ,2022-09-26,"10,018,265 ","6,133,491 ","16,151,756 ",,,,,,,,121 ,
